feature,importance
stylo_word_count,0.07583190970273498
stylo_avg_word_length,0.04141638683187179
stylo_character_count,0.04135440182329738
stylo_sentence_length_std,0.0393808008957078
stylo_comma_per_100_words,0.03772718440646326
stylo_punctuation_per_100_words,0.03749921447328335
stylo_function_word_count,0.03540330060983996
stylo_type_token_ratio,0.03444525986756066
stylo_long_sentence_ratio,0.034249259824400684
stylo_comma_count,0.032764807318646776
stylo_period_per_100_words,0.03276454824457539
stylo_ai_marker_ratio,0.032212805454891705
stylo_function_word_ratio,0.031674094305630084
stylo_avg_sentence_length,0.029582975343347945
stylo_punctuation_count,0.028330873091763218
stylo_flesch_reading_ease,0.028015910024317917
stylo_dash_count,0.027706635442626224
stylo_sentence_length_max,0.0257755600237574
stylo_gunning_fog,0.02526669210636192
stylo_quote_count,0.02361315846605275
stylo_hapax_legomena_ratio,0.023208400936227627
stylo_sentence_length_range,0.022039818429572207
stylo_sentence_count,0.02137380487284395
stylo_period_count,0.019943820632850447
stylo_mattr_50,0.01911356198487934
stylo_ai_marker_count,0.017986896491508152
stylo_simpson_diversity,0.017583539777125838
stylo_yules_k,0.016678437042187494
stylo_honores_r,0.016049997007967224
stylo_repeated_word_ratio,0.015871852147946265
stylo_uppercase_char_ratio,0.015004260828873482
stylo_titlecase_word_count,0.014629010961652561
stylo_sentence_length_min,0.013025697614732065
stylo_hedging_marker_ratio,0.012980340559579855
stylo_transition_marker_ratio,0.011221628407280854
stylo_short_sentence_ratio,0.010313842741391474
stylo_exclamation_count,0.006966099693015185
stylo_hedging_marker_count,0.006579018236568594
stylo_transition_marker_count,0.006301037826056676
stylo_question_mark_count,0.004908812947727345
stylo_uppercase_word_count,0.004673876162664246
stylo_semicolon_count,0.004416375749051109
stylo_colon_count,0.004114090691166869
